"","LI_CD","LI_ENG_NM","LI_KOR_NM","x_coord","y_coord","num"
"11702","4728031024","Sageun-ri","사근리",128.248542250901,36.5717355122692,3
"11703","4728031025","Wangtae-ri","왕태리",128.261993447368,36.588267534892,3
"11704","4728031026","Oryong-ri","오룡리",128.27490146741,36.5798252311564,3
"11705","4728031027","Geumnim-ri","금림리",128.263678933553,36.5687894132972,3
"11706","4728031028","Dalji-ri","달지리",128.283872430405,36.570543422292,3
"11707","4728031029","Imok-ri","이목리",128.277861379544,36.5570356038909,3
"11708","4728031030","Mareung-ri","말응리",128.25177208368,36.5460263643245,3
"11709","4728031031","Yulgok-ri","율곡리",128.230629386527,36.5448314215861,3
"11710","4728032021","Nongmun-ri","녹문리",128.25812246154,36.6267120286622,3
"11711","4728032022","Hyeon-ri","현리",128.259010919573,36.6410056417552,3
"11712","4728032023","Buam-ri","부암리",128.273794958836,36.6436190949843,3
"11713","4728032024","Gwagok-ri","과곡리",128.272737845466,36.6319252786824,3
"11714","4728032025","Hyeongcheon-ri","형천리",128.291446653156,36.6467079905839,0
"11715","4728032026","Wiman-ri","위만리",128.30446783526,36.6462978409416,0
"11716","4728032027","Ubon-ri","우본리",128.284739120977,36.6279458850545,3
"11717","4728032028","Yeonso-ri","연소리",128.265423104518,36.6166367012903,3
"11718","4728032029","Buram-ri","불암리",128.256178686148,36.6104052532905,3
"11719","4728032030","Jondo-ri","존도리",128.246556229375,36.6169693729755,3
"11720","4728032031","Bongjeong-ri","봉정리",128.239249119971,36.6286946743773,3
"11721","4728032032","Jinjeong-ri","진정리",128.233880526713,36.6092245932058,3
"11722","4728032033","Ban-gok-ri","반곡리",128.222259667747,36.6079838180376,3
"11723","4728032034","Pyeongji-ri","평지리",128.23699525146,36.5938373023993,3
"11724","4728032035","Songjuk-ri","송죽리",128.248529103404,36.6012450236658,3
"11725","4728032036","Sinjeon-ri","신전리",128.260203557244,36.5982136989056,3
"11726","4728033021","Gyeontan-ri","견탄리",128.156295385701,36.6544695525164,3
"11727","4728033022","Byeoram-ri","별암리",128.17706840518,36.6554996786972,3
"11728","4728033023","Hogye-ri","호계리",128.182562001565,36.6696123124183,3
"11729","4728033024","Bugok-ri","부곡리",128.201787064551,36.6858027194178,0
"11730","4728033025","Seonam-ri","선암리",128.21738401856,36.692534117967,0
"11731","4728033026","Jicheon-ri","지천리",128.236234495994,36.6649717806631,3
"11732","4728033027","Gado-ri","가도리",128.222034697407,36.6538298491017,3
"11733","4728033028","Gusan-ri","구산리",128.220119595891,36.6389329846379,3
"11734","4728033029","Uro-ri","우로리",128.202670363767,36.6597366373073,3
"11735","4728033030","Makgok-ri","막곡리",128.20821961885,36.6308724519195,3
"11736","4728033031","Bongseo-ri","봉서리",128.221243678482,36.6240149033925,3
"11737","4728034021","Seojung-ri","서중리",128.243338422716,36.640679079133,3
"11738","4728034022","Daesang-ri","대상리",128.251056853051,36.6569107671145,3
"11739","4728034023","Daeha-ri","대하리",128.260826402486,36.6759144995197,0
"11740","4728034024","Igok-ri","이곡리",128.244332707594,36.6884086854537,0
"11741","4728034025","Ugok-ri","우곡리",128.241215423698,36.7054308083374,0
"11742","4728034026","Seokbong-ri","석봉리",128.201571880495,36.7248372970293,0
"11743","4728034027","Gimyong-ri","김용리",128.218691170623,36.7408527636511,0
"11744","4728034028","Geosan-ri","거산리",128.2452513003,36.7280493882296,0
"11745","4728034029","Jeondu-ri","전두리",128.260121953452,36.7462343966964,0
"11746","4728034030","Hoam-ri","호암리",128.230594247031,36.7612590929633,0
"11747","4728034031","Gajwa-ri","가좌리",128.236485805907,36.7797133805526,0
"11748","4728034032","Changgu-ri","창구리",128.256702431827,36.7639415871022,0
"11749","4728034033","Soya-ri","소야리",128.27407355041,36.7276773840698,0
"11750","4728034034","Jonggok-ri","종곡리",128.272655308266,36.7061028582439,0
"11751","4728034035","Naehwa-ri","내화리",128.28155494916,36.6867501852878,0
"11752","4728034036","Yakseok-ri","약석리",128.269593111679,36.6583002050332,1
"11753","4728034037","Hoeryong-ri","회룡리",128.288176253003,36.6608028881723,0
"11754","4728034038","Gagok-ri","가곡리",128.298608813362,36.6728083745853,0
"11755","4728034039","Wolcheon-ri","월천리",128.317642120694,36.6653071284204,0
"11756","4728034040","Jinae-ri","지내리",128.328708759917,36.6508289996082,0
"11757","4728034041","Heuksong-ri","흑송리",128.341598170575,36.6511754332165,0
"11758","4728035021","Magwang-ri","마광리",128.314628642041,36.6891698333568,0
"11759","4728035022","In-gok-ri","인곡리",128.316024233852,36.7072687199976,0
"11760","4728035023","Supyeong-ri","수평리",128.296137618395,36.7304904196048,0
"11761","4728035024","Gansong-ri","간송리",128.322752266541,36.7412144759529,0
"11762","4728035025","Seokhang-ri","석항리",128.34770395854,36.7827062655679,0
"11763","4728035026","No-eun-ri","노은리",128.293290710646,36.7648892660288,0
"11764","4728035027","Jeokseong-ri","적성리",128.30796538111,36.7857793927126,0
"11765","4728035028","Saengdal-ri","생달리",128.254860196941,36.8066064867701,0
"11766","4728035029","Myeongjeon-ri","명전리",128.265992190218,36.834563129264,0
"11767","4728036021","Mogok-ri","모곡리",128.111282554675,36.6953287376032,0
"11768","4728036022","Jeong-ri","정리",128.095914336146,36.6877102006659,0
"11769","4728036023","Sangnae-ri","상내리",128.064622902849,36.6897417890199,0
"11770","4728036024","Hanae-ri","하내리",128.091393805568,36.6613507297547,0
"11771","4728036025","Sinhyeon-ri","신현리",128.123816585539,36.6633433340225,0
"11772","4728036026","Ocheon-ri","오천리",128.139652108561,36.6803726708667,0
"11773","4728036027","Oeeo-ri","외어리",128.157577385158,36.7031273112406,0
"11774","4728036028","Namho-ri","남호리",128.103022029642,36.7069999810819,0
"11775","4728037021","Nong-am-ri","농암리",128.005377553169,36.6033601301529,0
"11776","4728037022","Jonggok-ri","종곡리",127.992361316393,36.5978819983365,0
"11777","4728037023","Yeoncheon-ri","연천리",127.991140160082,36.6206127463655,0
